TAWSS,Points:0,Points:1,Points:2
1.69930448421053,0.163775,-0.216574,-0.0388565
1.85041347368421,0.163897,-0.216615,-0.0385308
1.87594436842105,0.163833,-0.217223,-0.0382236
1.68157484210526,0.163464,-0.217705,-0.038517
1.44152273684211,0.163068,-0.217543,-0.039006
1.34824533157895,0.16308,-0.216941,-0.0392597
1.45742997368421,0.16354,-0.216497,-0.0390779
1.93036226842105,0.179129,-0.185025,-0.326997
1.97774886842105,0.179237,-0.184913,-0.327107
1.89895158421053,0.179406,-0.184831,-0.327021
1.7194468631579,0.179432,-0.184883,-0.326834
1.71683036315789,0.179299,-0.185001,-0.326756
1.83369441578947,0.179165,-0.18506,-0.326833
5.5616092631579,0.165599,-0.205675,-0.03336
5.27404831578947,0.165791,-0.20559,-0.0333955
4.68105989473684,0.165801,-0.20538,-0.0333684
4.27320063157895,0.165606,-0.205251,-0.0333096
4.339715,0.165414,-0.205348,-0.0332615
5.114184,0.165417,-0.205561,-0.0332849
0.558707215789474,0.207815,-0.215794,-0.253527
0.562866889473684,0.206976,-0.216493,-0.252851
0.537201752631579,0.205757,-0.216624,-0.253298
0.505234963157895,0.205415,-0.216035,-0.254527
0.543441210526316,0.206341,-0.21539,-0.255181
0.567849585789474,0.207523,-0.21528,-0.254628
1.03264284736842,0.203812,-0.195489,-0.247604
0.904987526315789,0.203723,-0.195318,-0.247917
0.873832921052632,0.2034,-0.195401,-0.248085
0.8892436,0.203139,-0.195667,-0.247934
0.985884236842105,0.203211,-0.195841,-0.247575
1.09784981052632,0.20356,-0.195747,-0.247413
2.68923521052632,0.163302,-0.221571,-0.0354459
2.57841563157895,0.163531,-0.22097,-0.0351326
2.53081142105263,0.163693,-0.220957,-0.0344011
2.59535005263158,0.163654,-0.22164,-0.0339705
2.93159442105263,0.163373,-0.222285,-0.0343348
2.95814610526316,0.163184,-0.222203,-0.0350788
9.21037668421053,0.159772,-0.221781,-0.00320568
8.13654521052632,0.159813,-0.221749,-0.00332463
6.64387573684211,0.159746,-0.221555,-0.00342313
7.73142963157895,0.159596,-0.221441,-0.00328015
8.61624031578947,0.159571,-0.22148,-0.003156
8.53380773684211,0.159699,-0.221615,-0.00317843
4.36540131578947,0.177548,-0.185389,-0.328285
