OSI,Points:0,Points:1,Points:2
0.133789827703392,0.163775,-0.216574,-0.0388565
0.13659703956694,0.163897,-0.216615,-0.0385308
0.143339209677121,0.163833,-0.217223,-0.0382236
0.152845636808939,0.163464,-0.217705,-0.038517
0.188975992460204,0.163068,-0.217543,-0.039006
0.20858341283733,0.16308,-0.216941,-0.0392597
0.179931065950867,0.16354,-0.216497,-0.0390779
0.254126785681103,0.179129,-0.185025,-0.326997
0.228754162872815,0.179237,-0.184913,-0.327107
0.239674800186025,0.179406,-0.184831,-0.327021
0.291436985700734,0.179432,-0.184883,-0.326834
0.334168426016302,0.179299,-0.185001,-0.326756
0.308861897699591,0.179165,-0.18506,-0.326833
0.0879664765411673,0.165599,-0.205675,-0.03336
0.0865604873326045,0.165791,-0.20559,-0.0333955
0.10404082871976,0.165801,-0.20538,-0.0333684
0.124788186630493,0.165606,-0.205251,-0.0333096
0.124709810726142,0.165414,-0.205348,-0.0332615
0.102588317078529,0.165417,-0.205561,-0.0332849
0.0976270319768087,0.207815,-0.215794,-0.253527
0.106917636369691,0.206976,-0.216493,-0.252851
0.10886626708183,0.205757,-0.216624,-0.253298
0.111598557756418,0.205415,-0.216035,-0.254527
0.0948113832256303,0.206341,-0.21539,-0.255181
0.0835435129983201,0.207523,-0.21528,-0.254628
0.120089733844176,0.203812,-0.195489,-0.247604
0.140128574725009,0.203723,-0.195318,-0.247917
0.147168919950285,0.2034,-0.195401,-0.248085
0.146209247028901,0.203139,-0.195667,-0.247934
0.132803740108328,0.203211,-0.195841,-0.247575
0.115765301180536,0.20356,-0.195747,-0.247413
0.0791877786124658,0.163302,-0.221571,-0.0354459
0.110039745140692,0.163531,-0.22097,-0.0351326
0.134221469333826,0.163693,-0.220957,-0.0344011
0.119730223630816,0.163654,-0.22164,-0.0339705
0.0779086308182236,0.163373,-0.222285,-0.0343348
0.0643659867024788,0.163184,-0.222203,-0.0350788
0.105494678412295,0.159772,-0.221781,-0.00320568
0.104176349764143,0.159813,-0.221749,-0.00332463
0.103865915114658,0.159746,-0.221555,-0.00342313
0.108301416216361,0.159596,-0.221441,-0.00328015
0.10944925786088,0.159571,-0.22148,-0.003156
0.106647839073634,0.159699,-0.221615,-0.00317843
0.0734997223301979,0.177548,-0.185389,-0.328285
0.0766038219373314,0.177384,-0.185459,-0.328234
0.0753761064988576,0.177252,-0.185468,-0.328348
0.0706465282938816,0.177267,-0.185407,-0.328545
0.0670845293931152,0.177436,-0.185332,-0.328615
0.0691865723699101,0.177585,-0.185322,-0.328471
0.0621428971475407,0.163726,-0.207595,-0.0327158
0.060613274264008,0.1638,-0.207757,-0.0327492
0.0651757618813575,0.163939,-0.207773,-0.0328079
0.0685056919315562,0.16401,-0.207645,-0.0328354
0.0684405119208301,0.16396,-0.207495,-0.0328092
0.0664504321418408,0.163816,-0.207461,-0.0327483
0.121982666464578,0.203417,-0.227782,-0.215441
0.107489095914386,0.202612,-0.228224,-0.216338
0.0987548881954061,0.202783,-0.227988,-0.217524
0.0972239120279677,0.203732,-0.227283,-0.217877
0.0971557805234706,0.204511,-0.226733,-0.217025
0.111314061146541,0.204368,-0.226996,-0.215775
0.219267155056312,0.195076,-0.198098,-0.284314
0.254546727404742,0.195699,-0.199017,-0.284361
0.318776507499986,0.19607,-0.199463,-0.283413
0.24550240671554,0.195812,-0.198965,-0.28236
0.205011971582235,0.195393,-0.19795,-0.282339
0.226367228326351,0.195029,-0.19753,-0.283343
0.0160258466513162,0.179055,-0.185816,-0.332516
0.018983170797911,0.178969,-0.185775,-0.332584
0.0200745850872112,0.17893,-0.185656,-0.332579
0.0198342942860122,0.178979,-0.185579,-0.332508
0.0180269594186241,0.179065,-0.185619,-0.33244
0.0156973365613141,0.179102,-0.185738,-0.332443
