TAWSS,Points:0,Points:1,Points:2
1.07463170526316,0.23299,0.204375,-0.15151
1.12575473157895,0.233649,0.203829,-0.15172
1.16210380526316,0.234244,0.203729,-0.151191
1.1391657,0.23418,0.204155,-0.150392
1.14063443684211,0.23352,0.204667,-0.150189
1.10912635789474,0.232924,0.204787,-0.150778
1.31105542105263,0.172815,0.222813,-0.0511649
1.38612931578947,0.172438,0.221863,-0.0507429
1.48078505263158,0.172774,0.221577,-0.0497765
1.545495,0.173467,0.222282,-0.0492611
1.49562289473684,0.173864,0.223173,-0.0498
1.34803510526316,0.173549,0.223418,-0.0507375
0.569656842105263,0.214037,0.209776,-0.0783471
0.702159352631579,0.214105,0.209917,-0.0780211
0.855922031578947,0.214752,0.20997,-0.0778329
0.81720062631579,0.215209,0.209689,-0.0782799
0.660800478947369,0.214974,0.209262,-0.0787981
0.577307284210526,0.214376,0.209171,-0.0788974
0.532806963157895,0.213964,0.209546,-0.0785674
0.584839315789474,0.224303,0.206207,-0.0643262
0.576175510526316,0.22424,0.20564,-0.0658226
0.582018421052632,0.225403,0.205791,-0.0666867
0.529082415789474,0.22665,0.206534,-0.0662496
0.527508221052632,0.226827,0.207207,-0.0648291
0.606886684210526,0.225643,0.20703,-0.0637698
0.721812315789474,0.218631,0.212207,-0.304833
0.707977526315789,0.218662,0.212237,-0.304479
0.710315,0.218811,0.212519,-0.304328
0.723918736842105,0.218969,0.212789,-0.30452
0.728190894736842,0.218951,0.212789,-0.304898
0.728265557894737,0.218762,0.212489,-0.30506
0.927157052631579,0.198924,0.208766,-0.04468
0.930310947368421,0.198136,0.208525,-0.0449786
0.928812189473684,0.19802,0.207949,-0.0456293
0.930293736842105,0.198736,0.20754,-0.0460413
0.927660105263158,0.19963,0.207766,-0.0457425
0.924318947368421,0.199701,0.208417,-0.0450319
2.9853970631579,0.17624,0.20557,-0.0296656
3.19454997894737,0.176011,0.205112,-0.0294706
3.02360016842105,0.175786,0.204752,-0.0298253
2.90289444210526,0.175844,0.204822,-0.0303763
2.95978742105263,0.176062,0.205284,-0.0305699
2.87115984210526,0.176232,0.205672,-0.0302139
2.45139703684211,0.238905,0.206789,-0.30926
2.75366422105263,0.238123,0.206611,-0.309972
3.14809263157895,0.237985,0.207017,-0.311031
3.16920581052632,0.23868,0.207732,-0.311494
2.76149534210526,0.239661,0.20814,-0.310732
2.48526972631579,0.239747,0.207604,-0.309558
2.54817631578947,0.186299,0.223479,-0.0723645
2.66577984210526,0.186478,0.223227,-0.0724242
2.34544384210526,0.186354,0.222948,-0.0725995
2.04049868421053,0.185987,0.222957,-0.0726984
2.04575568421053,0.185791,0.223281,-0.0725872
2.24767689473684,0.185979,0.223524,-0.0724285
2.46220597368421,0.227873,0.226441,-0.130579
2.60807646315789,0.228092,0.226266,-0.130626
2.50639200526316,0.228256,0.226297,-0.130378
2.38250636842105,0.228139,0.226456,-0.130186
2.32286490526316,0.22791,0.226563,-0.13029
3.48731242105263,0.230752,0.177471,-0.316692
3.22172536842105,0.230616,0.178055,-0.3165
3.31565415789474,0.230375,0.178485,-0.316912
3.46885615789474,0.230305,0.178317,-0.317545
3.49066642105263,0.230419,0.177697,-0.317718
3.61006252631579,0.230625,0.177281,-0.317276
1.18542561578947,0.218121,0.206345,-0.0797032
1.43458477368421,0.218167,0.206585,-0.079814
1.59420910526316,0.218639,0.206712,-0.0801085
1.52551115789474,0.219078,0.206364,-0.0802197
1.43989252631579,0.2191,0.20611,-0.0800944
1.39896542105263,0.218623,0.206201,-0.0798194
