OSI,Points:0,Points:1,Points:2
0.11634218784226,0.23299,0.204375,-0.15151
0.110961689188308,0.233649,0.203829,-0.15172
0.109179100393677,0.234244,0.203729,-0.151191
0.114304946470421,0.23418,0.204155,-0.150392
0.112547182591755,0.23352,0.204667,-0.150189
0.112477885119285,0.232924,0.204787,-0.150778
0.135347286374019,0.172815,0.222813,-0.0511649
0.131269195280474,0.172438,0.221863,-0.0507429
0.0992874381002052,0.172774,0.221577,-0.0497765
0.0672996786230054,0.173467,0.222282,-0.0492611
0.0684252420476327,0.173864,0.223173,-0.0498
0.104240880373617,0.173549,0.223418,-0.0507375
0.289794825633792,0.214037,0.209776,-0.0783471
0.252647176986045,0.214105,0.209917,-0.0780211
0.243903157194862,0.214752,0.20997,-0.0778329
0.267618661620272,0.215209,0.209689,-0.0782799
0.292149315295369,0.214974,0.209262,-0.0787981
0.30317702698487,0.214376,0.209171,-0.0788974
0.308806050315063,0.213964,0.209546,-0.0785674
0.39628491993476,0.224303,0.206207,-0.0643262
0.394477776573534,0.22424,0.20564,-0.0658226
0.359376345520666,0.225403,0.205791,-0.0666867
0.432262418636933,0.22665,0.206534,-0.0662496
0.34907201823697,0.226827,0.207207,-0.0648291
0.297328656542299,0.225643,0.20703,-0.0637698
0.336513006022394,0.218631,0.212207,-0.304833
0.34192392954088,0.218662,0.212237,-0.304479
0.337236324188665,0.218811,0.212519,-0.304328
0.32728635718632,0.218969,0.212789,-0.30452
0.328966356019216,0.218951,0.212789,-0.304898
0.333964751796412,0.218762,0.212489,-0.30506
0.0749339439635457,0.198924,0.208766,-0.04468
0.0788505113333205,0.198136,0.208525,-0.0449786
0.0785238973197044,0.19802,0.207949,-0.0456293
0.0743788089467847,0.198736,0.20754,-0.0460413
0.0705888333299802,0.19963,0.207766,-0.0457425
0.0706810071548325,0.199701,0.208417,-0.0450319
0.19378320525821,0.17624,0.20557,-0.0296656
0.186050306408496,0.176011,0.205112,-0.0294706
0.191591524229532,0.175786,0.204752,-0.0298253
0.197046481826762,0.175844,0.204822,-0.0303763
