OSI,Points:0,Points:1,Points:2
0.286514586608062,0.288988,-0.219453,-0.732143
0.282022648410754,0.288832,-0.219816,-0.732072
0.287094100374249,0.288765,-0.219853,-0.731679
0.294546147465043,0.28889,-0.219505,-0.731485
0.29782987693381,0.289036,-0.21925,-0.731781
0.165433885768906,0.267225,-0.221199,-0.682455
0.170139533263344,0.267099,-0.221608,-0.682759
0.160470777288726,0.266938,-0.221507,-0.683386
0.153168229442487,0.266895,-0.220823,-0.68374
0.144728231098202,0.267026,-0.220259,-0.683267
0.150214328802086,0.267194,-0.220535,-0.682609
0.347230099346442,0.23778,-0.207449,-0.026588
0.282083911637121,0.237651,-0.207734,-0.0268434
0.320163624020187,0.23781,-0.207785,-0.0272115
0.414566312618202,0.238102,-0.207529,-0.0273025
0.489311682297454,0.238201,-0.207244,-0.0270189
0.438275414326321,0.238038,-0.207215,-0.0266726
0.241075529892121,0.220067,-0.204204,-0.0227025
0.246291092306568,0.219891,-0.204753,-0.0224565
0.237684918525949,0.219565,-0.204794,-0.0219851
0.220795957891256,0.219395,-0.204308,-0.0217042
0.212672682785964,0.21959,-0.203761,-0.0218782
0.223618661634936,0.219936,-0.203699,-0.0224051
0.180141380559776,0.294059,-0.231973,-0.732448
0.189589267503466,0.293483,-0.231935,-0.732258
0.188150616007018,0.293053,-0.232005,-0.732701
0.173071370805818,0.293186,-0.232128,-0.733197
0.156430169187581,0.293674,-0.23219,-0.733359
0.161008400360747,0.294117,-0.232105,-0.733053
0.41698458753873,0.216621,-0.219179,-0.00175694
0.425848049864338,0.216608,-0.21911,-0.00203693
0.434798624939434,0.216997,-0.218758,-0.00225336
0.461127487868137,0.217395,-0.218514,-0.00190138
0.454276947528198,0.217401,-0.218567,-0.00161073
0.436658460683743,0.217026,-0.218894,-0.00168049
0.214903024047666,0.257295,-0.269702,-0.218581
0.21507405256696,0.259313,-0.270148,-0.217417
0.224888404231502,0.26117,-0.270955,-0.218602
0.245837168129675,0.261094,-0.270954,-0.220929
0.294555085526949,0.259214,-0.270134,-0.22204
0.269827385267985,0.257271,-0.269688,-0.220877
0.148442572175111,0.258516,-0.213199,-0.0494732
0.148885170267795,0.258678,-0.213327,-0.0501505
0.148262535074898,0.2584,-0.21294,-0.050626
0.158309691694112,0.257931,-0.212491,-0.0504752
0.166020994136991,0.257744,-0.212353,-0.0498455
0.153681515088971,0.258051,-0.212675,-0.0493191
0.337704674554888,0.264499,-0.245932,-0.482098
0.334453945009203,0.264762,-0.24555,-0.483544
0.274458757855419,0.266186,-0.245477,-0.484054
0.344960177882053,0.267373,-0.245553,-0.483106
0.337575563196196,0.267174,-0.245943,-0.481658
0.322267979152096,0.265725,-0.24625,-0.48116
0.28437582302252,0.290326,-0.217414,-0.73331
0.289919456734272,0.290169,-0.21755,-0.732754
0.298845898092284,0.290397,-0.217248,-0.732271
0.292392189742018,0.290841,-0.216808,-0.732359
0.281367760240685,0.291021,-0.216679,-0.73296
0.281516055940224,0.290735,-0.216982,-0.733428
0.232820390688499,0.25042,-0.221593,-0.69959
0.257731862322844,0.249801,-0.220683,-0.700141
0.274394444969641,0.249362,-0.22079,-0.701286
0.279385906019047,0.24958,-0.221905,-0.702005
0.272805078770841,0.250449,-0.222774,-0.701499
0.238660576123256,0.250849,-0.222569,-0.700228
0.0792717082386895,0.290482,-0.240205,-0.497947
0.0847795917261267,0.290195,-0.2401,-0.497915
0.151809402327559,0.289994,-0.239608,-0.498227
0.214161626817933,0.290359,-0.23936,-0.498604
0.124351182760773,0.290626,-0.239505,-0.498644
0.111764725959872,0.290538,-0.239864,-0.498307
0.184448775158792,0.229344,-0.205781,-0.0115137
0.183541537656774,0.229238,-0.205297,-0.0112647
0.186505380883224,0.228995,-0.205416,-0.010832
0.180961956280264,0.228956,-0.205962,-0.0108324
0.187768688840131,0.229154,-0.206149,-0.0112436
0.158073528084083,0.228394,-0.207248,-0.0370009
0.149571838336898,0.228696,-0.207717,-0.0371123
0.14482649780782,0.228834,-0.208067,-0.0366902
0.158548476737863,0.228634,-0.207975,-0.0361659
0.168030748400079,0.228292,-0.207533,-0.036062
0.161857172118421,0.228189,-0.207155,-0.0364749
0.109560737720398,0.29055,-0.230372,-0.736764
0.110380153768857,0.290538,-0.230083,-0.737072
0.105212066036652,0.290661,-0.230286,-0.737408
0.107868499261512,0.290769,-0.230692,-0.737284
0.108528558638751,0.2907,-0.230712,-0.736897
0.151554159396837,0.266695,-0.276385,-0.206292
0.175974795271647,0.267011,-0.277133,-0.208435
0.249703984587313,0.266386,-0.275781,-0.210172
0.245399772855073,0.265236,-0.274107,-0.209819
0.202500222751799,0.264566,-0.273317,-0.207748
0.170439378390703,0.2654,-0.274242,-0.205957
0.156012660902476,0.256771,-0.211608,-0.0523979
