TAWSS,Points:0,Points:1,Points:2
0.690559521052632,0.288988,-0.219453,-0.732143
0.698557521052631,0.288832,-0.219816,-0.732072
0.726441736842105,0.288765,-0.219853,-0.731679
0.730056552631579,0.28889,-0.219505,-0.731485
0.701297447368421,0.289036,-0.21925,-0.731781
0.619304847368421,0.267225,-0.221199,-0.682455
0.612276563157895,0.267099,-0.221608,-0.682759
0.649587721052632,0.266938,-0.221507,-0.683386
0.681909921052632,0.266895,-0.220823,-0.68374
0.719530989473684,0.267026,-0.220259,-0.683267
0.684766721052632,0.267194,-0.220535,-0.682609
1.443191,0.23778,-0.207449,-0.026588
1.39489957894737,0.237651,-0.207734,-0.0268434
1.31432821052632,0.23781,-0.207785,-0.0272115
1.28047763157895,0.238102,-0.207529,-0.0273025
1.48660838421053,0.238201,-0.207244,-0.0270189
1.59013984210526,0.238038,-0.207215,-0.0266726
1.59281905263158,0.220067,-0.204204,-0.0227025
1.56310952631579,0.219891,-0.204753,-0.0224565
1.59107021052632,0.219565,-0.204794,-0.0219851
1.67119184210526,0.219395,-0.204308,-0.0217042
1.73264905263158,0.21959,-0.203761,-0.0218782
1.68659773684211,0.219936,-0.203699,-0.0224051
0.811409842105263,0.294059,-0.231973,-0.732448
0.829080231578947,0.293483,-0.231935,-0.732258
0.851599673684211,0.293053,-0.232005,-0.732701
0.886618036842105,0.293186,-0.232128,-0.733197
0.935224847368421,0.293674,-0.23219,-0.733359
0.88647687368421,0.294117,-0.232105,-0.733053
1.08295294736842,0.216621,-0.219179,-0.00175694
1.30711384210526,0.216608,-0.21911,-0.00203693
1.39849468421053,0.216997,-0.218758,-0.00225336
1.19709973684211,0.217395,-0.218514,-0.00190138
1.09968889473684,0.217401,-0.218567,-0.00161073
1.08479105263158,0.217026,-0.218894,-0.00168049
0.960019203157895,0.257295,-0.269702,-0.218581
0.954891373684211,0.259313,-0.270148,-0.217417
0.966175052631579,0.26117,-0.270955,-0.218602
0.937762742105263,0.261094,-0.270954,-0.220929
0.849263552631579,0.259214,-0.270134,-0.22204
0.880040810526316,0.257271,-0.269688,-0.220877
2.24338724736842,0.258516,-0.213199,-0.0494732
2.46631452631579,0.258678,-0.213327,-0.0501505
2.6144411368421,0.2584,-0.21294,-0.050626
2.3892918,0.257931,-0.212491,-0.0504752
2.14643575789474,0.257744,-0.212353,-0.0498455
2.1540407631579,0.258051,-0.212675,-0.0493191
0.926411421052632,0.264499,-0.245932,-0.482098
0.957747947368421,0.264762,-0.24555,-0.483544
0.926479052631579,0.266186,-0.245477,-0.484054
0.931259,0.267373,-0.245553,-0.483106
0.952692894736842,0.267174,-0.245943,-0.481658
0.866835210526316,0.265725,-0.24625,-0.48116
0.699247494736842,0.290326,-0.217414,-0.73331
0.722388684210526,0.290169,-0.21755,-0.732754
0.693748315789474,0.290397,-0.217248,-0.732271
0.709923863157895,0.290841,-0.216808,-0.732359
0.741808589473684,0.291021,-0.216679,-0.73296
0.700978057894737,0.290735,-0.216982,-0.733428
0.7044867,0.25042,-0.221593,-0.69959
0.622155284210526,0.249801,-0.220683,-0.700141
0.567042742105263,0.249362,-0.22079,-0.701286
0.565572610526316,0.24958,-0.221905,-0.702005
0.562889494736842,0.250449,-0.222774,-0.701499
0.648558247368421,0.250849,-0.222569,-0.700228
0.709865221052631,0.290482,-0.240205,-0.497947
0.736553852631579,0.290195,-0.2401,-0.497915
0.518645710526316,0.289994,-0.239608,-0.498227
0.418160742105263,0.290359,-0.23936,-0.498604
0.410800821052632,0.290626,-0.239505,-0.498644
0.519085468421053,0.290538,-0.239864,-0.498307
1.66552110526316,0.229344,-0.205781,-0.0115137
1.71546168421053,0.229238,-0.205297,-0.0112647
1.59749315789474,0.228995,-0.205416,-0.010832
1.60679347368421,0.228956,-0.205962,-0.0108324
1.6028057368421,0.229154,-0.206149,-0.0112436
3.66051510526316,0.228394,-0.207248,-0.0370009
3.74144542105263,0.228696,-0.207717,-0.0371123
3.83152405263158,0.228834,-0.208067,-0.0366902
3.52891515789474,0.228634,-0.207975,-0.0361659
3.46669194736842,0.228292,-0.207533,-0.036062
3.69206215789474,0.228189,-0.207155,-0.0364749
1.56070121052632,0.29055,-0.230372,-0.736764
1.56455770526316,0.290538,-0.230083,-0.737072
1.68218658421053,0.290661,-0.230286,-0.737408
1.70478183157895,0.290769,-0.230692,-0.737284
1.62222989473684,0.2907,-0.230712,-0.736897
1.1638673,0.266695,-0.276385,-0.206292
1.06731367263158,0.267011,-0.277133,-0.208435
0.861471694736842,0.266386,-0.275781,-0.210172
0.907558668421053,0.265236,-0.274107,-0.209819
1.04449532473684,0.264566,-0.273317,-0.207748
1.10624406315789,0.2654,-0.274242,-0.205957
2.24853551578947,0.256771,-0.211608,-0.0523979
2.06052872631579,0.257007,-0.211692,-0.0528996
1.77823243684211,0.256747,-0.211565,-0.0533496
