%wallShearStress:0,wallShearStress:1,wallShearStress:2,Result,Points:0,Points:1,Points:2,Point ID
-0.000347103,-0.000418643,0.00127703,1.47128,0.288988,-0.219453,-0.732143,0
-0.000360478,-0.000459816,0.00126441,1.47645,0.288832,-0.219816,-0.732072,1
-0.000363578,-0.000488774,0.00132322,1.54411,0.288765,-0.219853,-0.731679,2
-0.000352166,-0.000469729,0.00136258,1.57269,0.28889,-0.219505,-0.731485,3
-0.000336102,-0.000426476,0.00129697,1.49042,0.289036,-0.21925,-0.731781,4
0.000373068,-1.76073e-05,0.00143174,1.56843,0.267225,-0.221199,-0.682455,5
0.0003802,-9.32216e-06,0.00140701,1.54495,0.267099,-0.221608,-0.682759,6
0.000416811,-4.89729e-05,0.0014932,1.64412,0.266938,-0.221507,-0.683386,7
0.000424548,-0.000150227,0.00156867,1.72996,0.266895,-0.220823,-0.68374,8
0.000447954,-0.000107418,0.00168304,1.84964,0.267026,-0.220259,-0.683267,9
0.000422095,-2.61071e-05,0.00160119,1.75546,0.267194,-0.220535,-0.682609,10
0.00219264,0.00120652,-0.00170947,3.21264,0.23778,-0.207449,-0.026588,11
0.00260894,0.0015466,-0.00165618,3.66298,0.237651,-0.207734,-0.0268434,12
0.00251101,0.00176908,-0.00125756,3.51822,0.23781,-0.207785,-0.0272115,13
0.00218147,0.00190132,-0.00101086,3.24915,0.238102,-0.207529,-0.0273025,14
0.00205218,0.00166755,-0.00128511,3.11642,0.238201,-0.207244,-0.0270189,15
0.00191742,0.00118193,-0.00157584,2.91389,0.238038,-0.207215,-0.0266726,16
-3.66072e-05,0.00111991,0.000196836,1.20592,0.220067,-0.204204,-0.0227025,17
-8.58201e-05,0.000894358,0.000102868,0.958595,0.219891,-0.204753,-0.0224565,18
-3.02226e-05,0.00110182,4.05095e-05,1.16915,0.219565,-0.204794,-0.0219851,19
8.43119e-05,0.0015201,0.00012727,1.61941,0.219395,-0.204308,-0.0217042,20
0.000281106,0.00175173,0.000163517,1.88856,0.21959,-0.203761,-0.0218782,21
0.000226668,0.00158281,0.000174848,1.705,0.219936,-0.203699,-0.0224051,22
-6.05868e-05,0.000458698,0.00191666,2.09002,0.294059,-0.231973,-0.732448,23
-0.000206315,0.000470757,0.00193047,2.11759,0.293483,-0.231935,-0.732258,24
-0.000249037,0.000469807,0.00197969,2.17285,0.293053,-0.232005,-0.732701,25
-0.00024846,0.000469323,0.00208565,2.28133,0.293186,-0.232128,-0.733197,26
-0.000185814,0.000482122,0.00226253,2.46003,0.293674,-0.23219,-0.733359,27
-4.9056e-05,0.000471982,0.00215168,2.33559,0.294117,-0.232105,-0.733053,28
-0.000403605,-5.11578e-05,-0.000726114,0.882259,0.216621,-0.219179,-0.00175694,29
-0.000436886,0.000115584,-0.00132565,1.48459,0.216608,-0.21911,-0.00203693,30
-0.000269742,0.000151764,-0.00125327,1.36838,0.216997,-0.218758,-0.00225336,31
-0.000175466,-3.90124e-05,-0.000498043,0.561257,0.217395,-0.218514,-0.00190138,32
-0.0001876,-0.000100549,-0.000261507,0.35741,0.217401,-0.218567,-0.00161073,33
-0.000201606,-3.22228e-05,-0.000494751,0.567335,0.217026,-0.218894,-0.00168049,34
1.10612e-05,1.51095e-05,0.00197642,2.0951,0.257295,-0.269702,-0.218581,35
6.3171e-05,5.61189e-05,0.00197167,2.09189,0.259313,-0.270148,-0.217417,36
0.000175584,-2.97713e-05,0.00192331,2.04742,0.26117,-0.270955,-0.218602,37
9.5131e-05,-5.06491e-05,0.00174778,1.85617,0.261094,-0.270954,-0.220929,38
-8.1731e-05,-3.46805e-06,0.00128685,1.36682,0.259214,-0.270134,-0.22204,39
-5.63737e-05,-2.27896e-05,0.00146321,1.55235,0.257271,-0.269688,-0.220877,40
0.000145051,-5.83517e-05,-0.00110073,1.17848,0.258516,-0.213199,-0.0494732,41
0.00020236,-9.41077e-05,-0.00122183,1.31657,0.258678,-0.213327,-0.0501505,42
0.000241463,-0.000100349,-0.00134454,1.45192,0.2584,-0.21294,-0.050626,43
0.000192297,-8.30925e-05,-0.00122289,1.31514,0.257931,-0.212491,-0.0504752,44
