%wallShearStress:0,wallShearStress:1,wallShearStress:2,Result,Points:0,Points:1,Points:2,Point ID
-0.00027473,-0.00028731,0.00115042,1.29019,0.288988,-0.219453,-0.732143,0
-0.000283595,-0.000289241,0.00117098,1.31341,0.288832,-0.219816,-0.732072,1
-0.000272008,-0.000298251,0.00117981,1.32177,0.288765,-0.219853,-0.731679,2
-0.000251415,-0.000294762,0.00116232,1.2987,0.28889,-0.219505,-0.731485,3
-0.000254181,-0.000290253,0.00114391,1.27966,0.289036,-0.21925,-0.731781,4
0.000328276,2.01934e-05,0.00124783,1.36788,0.267225,-0.221199,-0.682455,5
0.000337498,1.63813e-05,0.00124592,1.36838,0.267099,-0.221608,-0.682759,6
0.000352065,2.28019e-07,0.00125312,1.37974,0.266938,-0.221507,-0.683386,7
0.000344856,-3.21332e-05,0.0012616,1.38678,0.266895,-0.220823,-0.68374,8
0.000344197,-1.62914e-05,0.00129965,1.42523,0.267026,-0.220259,-0.683267,9
0.000339217,1.65066e-05,0.00128555,1.40943,0.267194,-0.220535,-0.682609,10
-0.00117082,-3.98739e-05,0.00190901,2.3742,0.23778,-0.207449,-0.026588,11
-0.000172264,0.000166366,0.000701197,0.785424,0.237651,-0.207734,-0.0268434,12
-0.000666141,-0.0006415,0.000172595,0.99722,0.23781,-0.207785,-0.0272115,13
-0.00180725,-0.00196365,0.000233526,2.83965,0.238102,-0.207529,-0.0273025,14
-0.0030108,-0.00278359,0.00136344,4.58041,0.238201,-0.207244,-0.0270189,15
-0.00304234,-0.00181077,0.00260913,4.66186,0.238038,-0.207215,-0.0266726,16
0.00145983,0.00232687,-0.00193282,3.56028,0.220067,-0.204204,-0.0227025,17
0.00135237,0.0023453,-0.00205042,3.59987,0.219891,-0.204753,-0.0224565,18
0.00143622,0.0023724,-0.00215427,3.72238,0.219565,-0.204794,-0.0219851,19
0.00157754,0.00250444,-0.00201273,3.79414,0.219395,-0.204308,-0.0217042,20
0.00179256,0.00256194,-0.00199159,3.92962,0.21959,-0.203761,-0.0218782,21
0.0017741,0.00241281,-0.00201249,3.8247,0.219936,-0.203699,-0.0224051,22
-0.000116147,0.000359145,0.00153772,1.67838,0.294059,-0.231973,-0.732448,23
-0.000202109,0.000383391,0.00157156,1.72804,0.293483,-0.231935,-0.732258,24
-0.000226931,0.000388785,0.00162975,1.79222,0.293053,-0.232005,-0.732701,25
-0.00022541,0.00038647,0.00171056,1.87418,0.293186,-0.232128,-0.733197,26
-0.000188175,0.000379958,0.00179306,1.95306,0.293674,-0.23219,-0.733359,27
-0.000108645,0.000359576,0.00168471,1.82965,0.294117,-0.232105,-0.733053,28
0.0011701,0.00107813,-0.000686373,1.83677,0.216621,-0.219179,-0.00175694,29
0.00130164,0.00131636,-0.00126108,2.37436,0.216608,-0.21911,-0.00203693,30
0.00124657,0.00139251,-0.00162416,2.62464,0.216997,-0.218758,-0.00225336,31
0.00108589,0.00122901,-0.00118196,2.14284,0.217395,-0.218514,-0.00190138,32
0.00108127,0.00116016,-0.000751498,1.86025,0.217401,-0.218567,-0.00161073,33
0.00112215,0.00110136,-0.000676163,1.81424,0.217026,-0.218894,-0.00168049,34
-5.3564e-06,5.1169e-05,0.00310768,3.2946,0.257295,-0.269702,-0.218581,35
2.8314e-05,0.000113326,0.00308332,3.27066,0.259313,-0.270148,-0.217417,36
5.16909e-05,6.21623e-05,0.00310073,3.28789,0.26117,-0.270955,-0.218602,37
-3.2182e-05,-1.96841e-05,0.00304265,3.22546,0.261094,-0.270954,-0.220929,38
-0.000118562,-4.06251e-05,0.00287797,3.05354,0.259214,-0.270134,-0.22204,39
-7.01653e-05,-2.16315e-05,0.00295888,3.13738,0.257271,-0.269688,-0.220877,40
0.000961547,3.38177e-06,-0.0105108,11.1879,0.258516,-0.213199,-0.0494732,41
0.00160823,-0.000448702,-0.0116219,12.4457,0.258678,-0.213327,-0.0501505,42
0.00176059,-0.000459286,-0.0123107,13.1911,0.2584,-0.21294,-0.050626,43
0.00123831,-0.000294836,-0.0110569,11.7978,0.257931,-0.212491,-0.0504752,44
0.000504798,4.57411e-05,-0.00969644,10.2923,0.257744,-0.212353,-0.0498455,45
0.000386002,0.000335715,-0.00986194,10.4677,0.258051,-0.212675,-0.0493191,46
-0.000420976,-0.000471729,0.00169313,1.91577,0.264499,-0.245932,-0.482098,47
-0.000463595,-0.000324504,0.00163061,1.82957,0.264762,-0.24555,-0.483544,48
-0.000457968,-0.000243999,0.00151782,1.70031,0.266186,-0.245477,-0.484054,49
-0.000424461,-0.000404738,0.00164445,1.85066,0.267373,-0.245553,-0.483106,50
-0.000378723,-0.000576045,0.0017546,1.99828,0.267174,-0.245943,-0.481658,51
-0.000370999,-0.00055641,0.00168561,1.92223,0.265725,-0.24625,-0.48116,52
-0.000255251,-0.000164459,0.00110555,1.21528,0.290326,-0.217414,-0.73331,53
-0.000234419,-0.000180278,0.00114445,1.25296,0.290169,-0.21755,-0.732754,54
-0.000214083,-0.00017566,0.00111724,1.22011,0.290397,-0.217248,-0.732271,55
-0.000233675,-0.000158468,0.00116732,1.27303,0.290841,-0.216808,-0.732359,56
-0.000252693,-0.000131519,0.00120823,1.31584,0.291021,-0.216679,-0.73296,57
-0.000254241,-0.000133034,0.00111859,1.2241,0.290735,-0.216982,-0.733428,58
0.000471639,2.05632e-05,0.00135668,1.52265,0.25042,-0.221593,-0.69959,59
0.000467413,6.86015e-05,0.00127004,1.43636,0.249801,-0.220683,-0.700141,60
0.00047478,9.58574e-05,0.0011964,1.36817,0.249362,-0.22079,-0.701286,61
0.000495718,7.28112e-05,0.00118494,1.36371,0.24958,-0.221905,-0.702005,62
0.000503111,3.77076e-05,0.0011834,1.36364,0.250449,-0.222774,-0.701499,63
0.000486105,1.28486e-05,0.00128347,1.45485,0.250849,-0.222569,-0.700228,64
-0.00121399,0.000446322,0.00017457,1.38347,0.290482,-0.240205,-0.497947,65
-0.00140718,0.00047478,0.000250496,1.59646,0.290195,-0.2401,-0.497915,66
-0.0012838,0.000365919,0.000356158,1.46452,0.289994,-0.239608,-0.498227,67
-0.000709752,0.000216233,0.000221086,0.820651,0.290359,-0.23936,-0.498604,68
-0.000531076,0.000201288,0.000121374,0.615613,0.290626,-0.239505,-0.498644,69
-0.000956456,0.000308524,0.000238459,1.09486,0.290538,-0.239864,-0.498307,70
0.00153739,0.00167025,-0.00253204,3.60471,0.229344,-0.205781,-0.0115137,71
0.00154657,0.00177671,-0.00272111,3.81498,0.229238,-0.205297,-0.0112647,72
0.00132244,0.00170664,-0.00227913,3.32778,0.228995,-0.205416,-0.010832,73
0.00139394,0.00175112,-0.00212175,3.26909,0.228956,-0.205962,-0.0108324,74
0.00145585,0.00160419,-0.00217364,3.25295,0.229154,-0.206149,-0.0112436,75
0.00325148,-0.000626223,-0.0102231,11.3908,0.228394,-0.207248,-0.0370009,76
0.00349163,-0.00133241,-0.0106309,11.9448,0.228696,-0.207717,-0.0371123,77
0.00345997,-0.00118665,-0.0111514,12.4401,0.228834,-0.208067,-0.0366902,78
