%wallShearStress:0,wallShearStress:1,wallShearStress:2,Result,Points:0,Points:1,Points:2,Point ID
-0.000106524,-9.52888e-05,0.000496054,0.547208,0.288988,-0.219453,-0.732143,0
-0.000108843,-9.19859e-05,0.00049533,0.546347,0.288832,-0.219816,-0.732072,1
-0.000102848,-9.41392e-05,0.000502399,0.552671,0.288765,-0.219853,-0.731679,2
-9.58683e-05,-9.81642e-05,0.000505653,0.555375,0.28889,-0.219505,-0.731485,3
-9.69052e-05,-9.78899e-05,0.00049523,0.544871,0.289036,-0.21925,-0.731781,4
0.000134342,1.97591e-05,0.000506896,0.556254,0.267225,-0.221199,-0.682455,5
0.000137537,1.56216e-05,0.000503191,0.553196,0.267099,-0.221608,-0.682759,6
0.000142322,7.26335e-06,0.000503885,0.555068,0.266938,-0.221507,-0.683386,7
0.00013942,-1.62676e-06,0.000508626,0.559034,0.266895,-0.220823,-0.68374,8
0.000137427,1.89451e-06,0.000520324,0.57046,0.267026,-0.220259,-0.683267,9
0.000136486,1.49279e-05,0.000517333,0.567357,0.267194,-0.220535,-0.682609,10
0.000209651,-0.00016497,-0.000585077,0.681609,0.23778,-0.207449,-0.026588,11
0.000431723,-8.46939e-05,-0.000845028,1.00986,0.237651,-0.207734,-0.0268434,12
0.000291538,-0.000296895,-0.00103712,1.18452,0.23781,-0.207785,-0.0272115,13
-4.55649e-05,-0.000616729,-0.000971703,1.22091,0.238102,-0.207529,-0.0273025,14
-0.000263136,-0.000744856,-0.000677455,1.10311,0.238201,-0.207244,-0.0270189,15
-0.000191796,-0.000539017,-0.000455771,0.77536,0.238038,-0.207215,-0.0266726,16
0.00108726,0.000802241,-0.00152387,2.15884,0.220067,-0.204204,-0.0227025,17
0.00106284,0.000822263,-0.00155928,2.18193,0.219891,-0.204753,-0.0224565,18
0.00107957,0.000826894,-0.00159404,2.22099,0.219565,-0.204794,-0.0219851,19
0.00108817,0.000824525,-0.00153425,2.17697,0.219395,-0.204308,-0.0217042,20
0.00112237,0.00082262,-0.00150534,2.17299,0.21959,-0.203761,-0.0218782,21
0.00114124,0.000804037,-0.00152815,2.19401,0.219936,-0.203699,-0.0224051,22
-6.65526e-05,0.000125074,0.000546364,0.598301,0.294059,-0.231973,-0.732448,23
-8.97552e-05,0.000136066,0.000556501,0.614675,0.293483,-0.231935,-0.732258,24
-9.99688e-05,0.000136732,0.000564871,0.625102,0.293053,-0.232005,-0.732701,25
-0.000100717,0.000133369,0.000580924,0.640756,0.293186,-0.232128,-0.733197,26
-8.26439e-05,0.000127039,0.000597787,0.653701,0.293674,-0.23219,-0.733359,27
-5.96758e-05,0.000119969,0.000573122,0.623892,0.294117,-0.232105,-0.733053,28
0.000537549,0.000621731,-0.000745458,1.17618,0.216621,-0.219179,-0.00175694,29
0.000586966,0.000708239,-0.000952306,1.40346,0.216608,-0.21911,-0.00203693,30
0.000588585,0.000744663,-0.00109889,1.53919,0.216997,-0.218758,-0.00225336,31
